Referencia NCM;% depreciação;ID;Quantidade;Descrição;COD_INTERNO;ORIGEM;Valor unitário;Tipo de produto;activo/inactivo;localização;Data de Compra;ACORDO;COD_ANTIGO;NOTA_FISCAL;FORNECEDOR;EAN 128;Colunas1;Colunas2;Colunas3
8418.40.00;10;34;1;Refrigerador modelo RFE 38 FROST FREE marca ELETROLUX;672;;250;Electrodomestico;Activo;Balcão P.S.,Corredor de Entrada;21/05/2012;PMMP;;;;;;;
9401.69.00;;35;1;Poltrona de madeira para descanso reclinavel cor roxa;845;;180;Mobiliário em madeira;Activo;Balcão P.S.,Corredor de Entrada;24/05/2012;;;;;;;;
9401.80.00;;36;1;Cadeira Branca de plástico;1411;;;Mobiliário em plástico;Activo;Balcão P.S.,Corredor de Entrada;;;;;;;;;
9402.90.90;10;37;1;Mesa de Cabeceira confeccionada em FERRO com 01 prateleira;849;;100;Mobiliário em FERRO;Activo;Balcão P.S.,Corredor de Entrada;24/05/2012;;;;;;;;
3922.90.00;;38;1;Caixote do lixo em metal enferrujado;1413;COMODATO;28;Mobiliário em FERRO;Activo;Balcão P.S.,Corredor de Entrada;;PMMP;13517;;;;;;
3922.90.00;;39;1;Higienizador desinfectante limpeza de mãos;1414;;;Higiene;Activo;P.S., Enfermaria Feminina;;;;;;;;;
9402.90.20;10;40;1;Cama Fawler Mecánica c/ rodas c/ grade;3120;;2990;Eq. Hospitalar;Activo;P.S., Enfermaria Feminina;;;;NOVAMED COM DE MED E MAT HOSPITALAR LTDA;31 SERIE 1;;;;
9402.90.20;10;41;1;Cama Fawler Mecánica c/ rodas s/ grade;3121;;1490;Eq. Hospitalar;Activo;P.S., Enfermaria Feminina;;;;;;;;;
9402.90.20;10;42;1;Cama Fawler Mecánica c/ rodas s/ grade;3122;;1490;Eq. Hospitalar;Activo;P.S., Enfermaria Feminina;;;;;;;;;
9401.80.00;;43;1;Cadeira Branca de plástico modelo PARIS;3123;;;Mobiliário em plástico;Activo;P.S., Enfermaria Feminina;;;;;;;;;
9402;10;44;2;Suportes e soro de tecto c/ 1 completo c/ extensor o segundo mas sem gancho;99999;;;Eq. Hospitalar;Activo;P.S., Enfermaria Feminina;;;;;;;;;
9402;10;45;1;Suporte móvel cinza de soro c/ extensor;99999;;;Eq. Hospitalar;Activo;P.S., Enfermaria Feminina;;;;;;;;;
3922.90.00;;46;1;Balde de lixo branco em plástico;99999;;;Lixeira;Activo;P.S., Enfermaria Feminina;;;;;;;;;
3922.90.00;;47;1;Balde de lixo verde em plastico;99999;;;Lixeira;Activo;P.S., Enfermaria Feminina;;;;;;;;;
3922.90.00;;48;1;Higienizador desinfectante limpeza de mãos;1415;;;Higiene;Activo;P.S., Enfermaria Masculina;;;;;;;;;
9402;10;49;1;Suporte para soro confeccionado em FERRO com 03 pes;1416;;;Eq. Hospitalar;Activo;P.S., Enfermaria Masculina;;;;;;;;;
9025.11.10;;50;1;Termometro Digital;1778;;;Eq. Hospitalar;Activo;Corredor de Entrada/Balcão PS;;;;;;;;;
9403.10.00;10;51;1;Armario confeccionado em ACO com 03 gavetas na cor CINZA;673;;250;Mobiliário de Aço;Activo;Sala de coordenação da enfermagem;21/05/2012;;;;;;;;
9403.10.00;10;52;1;Armario confeccionado em MADEIRA tipo FORMICA com 02 portas;675;;320;Mobiliário de madeira;Activo;Sala de coordenação da enfermagem;21/05/2012;;;;;;;;
8471.50.10;20;53;1;Gabinete Dell inspiron 530;1378;;350;Computador;Activo;Sala de coordenação da enfermagem;14/09/2011;;681;;;;;;
8517.19.20;0;54;1;Telefone e Fax Aparelho Fac-Simile modelo KX-FT902 marca PANASONIC;678;;340;Telefonia;Activo;CAF;21/05/2012;;;;;;;;
9403.30.00;10;55;1;Mesa conf em MADEIRA padrao Escritorio sem gaveta cor AZUL;680;;110;Mobiliário madeira;Activo;Sala de coordenação da enfermagem;21/05/2012;PAHI;;;;;;;
9403.60.00;;56;1;Armario confeccionado em MADEIRA tipo FORMICA  com 05 gavetas cor AZUL;676;;180;Mobiliário madeira;Activo;Sala de coordenação da enfermagem;21/05/2012;;;;;;;;
9402.90.90;10;57;1;Mesa de Cabeceira confeccionada em FERRO  com 02 prateleiras;703;;100;Mobiliário em FERRO;Activo;Sala de coordenação da enfermagem;21/05/2012;;;;;;;;
8471.60.52;20;58;1;Teclado 107 teclas mod. Kb2200-s marca dell problema com as cores das teclas;1322;;40;TecladoPC;CESSAO;Sala de coordenação da enfermagem;14/09/2012;;;;;;;;
7610.10.00;25;59;1;Quadro de aviso tam. 2,00x1,20 moldura em aluminio em acrilico branco;684;;200;Mobiliário em Aluminio;Activo;Sala de coordenação da enfermagem;;;;;;;;;
8528.51.20;20;60;1;"Monitor Dell 15.6""";682;;400;Monitor;Desactivo;Sala de Informática;21/05/2012;;;;;;;;
8518.21.00;20;61;1;Caixas de Som Dell;685;;40;CaixaDeSom;Activo;Sala de coordenação da enfermagem;21/05/2012;;;;;;;;
9401.71.00;10;62;1;Cadeira confeccionada em FERRO estofada na cor AZUL;679;;57,66;Mobiliário em FERRO;Activo;Sala de coordenação da enfermagem;21/05/2012;;;;;;;;
8471;20;63;1;Estabilizador de Voltagem de 127 volts marca SMS cor preto;683;;70;NoBreak;Activo;Sala de Informática;21/05/2012;;;;;;;;
3922.90.00;;64;1;Caixote do lixo em plástico com pedal;1418;;5;Outros;Activo;Sala de coordenação da enfermagem;;;;;;;;;
8471.60.52;20;65;1;Teclado;1431;;;TecladoPC;Activo;Recepção de convénios;;;;;;;;;
9401.30.90;10;66;1;Cadeira de escritorio com rodas GIRATÓRIA;1432;;118;Mobiliário em FERRO;Activo;Recepção de convénios;21/05/2012;;;;;;;;
8443;10;67;1;Impressora HP CE461A P2035;1434;;220,67;Impressora;Activo;Recepção de convénios;17/02/2013;PAHI;;808555 serie 1;ECCO BRASIL INFORMATICA E ELECTRONICOS LTDA;;;;
;;68;1;Ingenico ICT220 leitor de cartão debito, credito;1435;;;Electronico;Activo;Recepção de convénios;;;;;;;;;
8472;10;69;1;Furador Grande;1436;;;Material Escritorio;Activo;Recepção de convénios;;;;;;;;;
8517.19.20;0;70;1;Telefone Siemens Euroset 3005;3487;COMODATO;;Telefonia;Activo;Recepção de convénios;;Dr. Odilon;;;;;;;
8471.50.10;20;71;1;Gabinete Dell Vostro i3;664;;800;Computador;Activo;Recepção de convénios;21/05/2012;PAHI;;;;;;;
8443;10;72;1;Impressora fotocopiadora Brother DCP 8065 DN;717;;2650;Impressora;Activo;Recepção de convénios;01/09/2008;;;;;;;;
3922.90.00;;73;1;Caixote do lixo 100l de plástico grande;1427;;;Material Escritorio;Activo;Recepção de convénios;;;;;;;;;
8471.50.10;20;74;1;Gabinete Dell Vostro i3;665;;800;Computador;Activo;Recepção de convénios;21/05/2012;PAHI;;;;;;;
8471.60.53;20;75;1;Rato de computador Mouse SpaceBR;1423;;0,01;RatoPC;Activo;Recepção de convénios;;;;;;;;;
8528.51.20;20;76;1;Monitor Samsung EX1920 S19CLUSBLZD;1424;;249;Monitor;Activo;Recepção de convénios;11/04/2013;;;;;;;;
9401.30.90;;77;1;Cadeira c/ rodas de escritório;1422;;;Mobiliário em FERRO;Activo;Recepção de convénios;;;;;;;;;
8518.21.00;20;78;1;Caixas de Som;1425;;;CaixaDeSom;Activo;Recepção de convénios;;;;;;;;;
9401.80.00;;79;1;Cadeira de plástico azul escura grande;1371;;;Mobiliário em plástico;Activo;Corredor de entrada, Porteiro;;;;;;;;;
8303;10;80;1;Cofre e armário marca NEVE em mau estado;1419;;;Mobiliário em FERRO;Activo;Recepção de convénios;;;;;;;;;
9403.60.00;10;81;1;Armário de Madeira aberto com 5 prateleiras comprido;658;;300;Mobiliário em madeira;Activo;Recepção de convénios;21/05/2012;;;;;;;;
9403.30.00;10;82;1;Mesa de escritório c/ 2 gavetas e suporte;659;;130;Mobiliário em madeira;Activo;Recepção de convénios;21/05/2012;;;;;;;;
8471.50.10;20;83;1;Gabinete Série Marte Intel Celeron 4GB, 500GB HD;1420;;;Computador;Activo;Recepção de convénios;;;;;;;;;
8471.60.52;20;84;1;Teclado;1421;;;TecladoPC;Activo;Recepção de convénios;;;;;;;;;
8528.51.20;20;85;1;"Monitor Dell 17"" E1709Wc";1428;;400;Monitor;Activo;Recepção de convénios;12/09/2011;;;;;;;;
8471;20;86;1;UPS APC ES600;662;;480;Electronico;Activo;Recepção de convénios;;PAHI;;;;;;;
8472.90.40;10;87;1;Grampeador;1429;;;Material Escritorio;Activo;Recepção de convénios;;;;;;;;;
8471.60.53;20;88;1;Rato Otico Dell;1433;;0,01;RatoPC;Activo;Recepção de convénios;;;;;;;;;
8528.51.20;20;89;1;"Monitor Dell 17"" E1709Wc";667;;400;Monitor;Activo;Recepção de convénios;12/09/2011;;;;;;;;
9403.30.00;;90;1;Balcão de atendimento com 8 gavetas grandes 2 pequenas;661;;600;Mobiliário em madeira;Activo;Recepção de convénios;21/05/2012;;;;;;;;
9401.71.00;10;91;1;Cadeira Tipo Secretaria de estrutura metalica c/assento forrado;812;;57,66;Mobiliário em ferro;Activo;Recepção de convénios;;;;;;;;;
8471.60.52;20;92;1;Teclado;1443;;;TecladoPC;Activo;Recepção de convénios;;;;;;;;;
8471.60.53;20;93;1;Rato Otico Dell;1445;;0,01;RatoPC;Activo;Recepção de convénios;;;;;;;;;
8472.90.40;10;94;1;Grampeador grande;1444;;;Material Escritorio;Activo;Recepção de convénios;;;;;;;;;
8471;20;95;1;Backup UPS APC ES600;663;;220;Electronico;Activo;Recepção de convénios;21/05/2012;;;;;;;;
8471.80.14;20;96;1;Switch 8 portas Multilaser;1446;;;Electronico;Activo;Recepção de convénios;;;;;;;;;
8713.10.00;;97;1;Cadeira de rodas jaguaribe ;1430;;;Eq. Hospitalar;Activo;Recepção de convénios;;;552;;;;;;
8713.10.00;;98;1;Cadeira de Rodas confeccionada em AÇO INOX;843;;;Eq. Hospitalar;Activo;Sotão 1;24/05/2012;;;;;;;;
8713.10.00;;99;1;Cadeira de rodas CDS vermelha;1437;;;Eq. Hospitalar;Activo;Pronto Socorro;;;;;;;;;
8713.10.00;;100;1;Cadeira de rodas CDS vermelha;1438;;;Eq. Hospitalar;Activo;Pronto Socorro;;;;;;;;;
9401.79.00;;101;1;Banco confeccionado em MADEIRA para 03 lugares ( INVERNIZADO );491;;400;Mobiliário madeira;Activo;Hall de endoscopia;18/05/2012;;;;;;;;
9401.79.00;;102;1;Banco de MADEIRA tam 3,00 M c/ripas;493;;300;Mobiliário madeira;Activo;Hall de endoscopia;18/05/2012;;;;;;;;
8418.69.31;;103;1;Bebedouro de água 403 GFN 2000;1440;;;Bebedouro;Activo;Hall de endoscopia;;;;;;;;;
3922.90.00;;104;1;Higienizador desinfectante limpeza de mãos;1441;;;Higiene;Activo;Hall de endoscopia;;;;;;;;;
9403.60.00;;105;1;Movel do Sto Antonio da Estiva de madeira c/ 2prateleiras;1442;;;Mobiliário madeira;Activo;Hall de endoscopia;;;;;;;;;
8471.60.53;20;106;1;NEOX 3D optical mouse;1447;;0,01;RatoPC;Activo;Ouvidoria;;;;;;;;;
9401.79.00;;107;1;Banco de FERRO com Ripas de Madeira;780;;229;Mobiliário em FERRO;Activo;Corredor de Entrada RX;23/05/2012;;;;;;;;
9401.79.00;;108;1;Banco de FERRO com Ripas de Madeira;781;;229;Mobiliário em FERRO;Activo;Corredor de Entrada RX;23/05/2012;;;;;;;;
6914.90.00;;109;1;Vaso de pedra;1454;;;Outros;Activo;Entrada de convénio;;;;;;;;;
6912.00.00;;110;1;Bebedouro em Cerâmica;1450;;;Bebedouro;Activo;Entrada de convénio;;PAHI;;;;;;;
8528.72.00;;111;1;"Televisor CCE 14"" numero de serie: O011AZ18139";99999;;;Televisor;Activo;Entrada de convénio;;;;;;;;;
4414.00.00;;112;1;Quadro de Aviso de estrutura de MADEIRA e forrado de CORTIÇA;859;;35;Material Escritorio;Activo;Entrada de convénio;24/05/2012;;;;;;;;
9401.71.00;;113;1;Longarina Conjunto de cadeiras grupo de 3 em FERRO;1451;;280;Mobiliário em Ferro;Activo;Entrada de convénio;24/05/2012;;860;;;;;;
9401.71.00;;114;1;Longarina Conjunto de cadeiras grupo de 3 em FERRO;1452;;280;Mobiliário em Ferro;Activo;Entrada de convénio;24/05/2012;;861;;;;;;
9401.80.00;;115;1;Longarina c/ 4 cadeiras de cor azul em plástico;1453;;275;Mobiliário em plástico;Activo;Entrada de convénio;23/01/2012;PAHI;;1120 serie 1;Vanderlei ISIDORO EPP;;;;
9401.71.00;;116;1;Cadeira estrutura tubular em aço acolchoada preta;653;;18;Mobiliário em FERRO;Activo;Raio X;;;;;;;;;
9401.71.00;;117;1;Cadeira estrutura tubular em aço acolchoada preta;652;;20;Mobiliário em FERRO;Activo;Raio X;;;;;;;;;
3922.90.00;;118;1;Balde do lixo em plástico;1457;;;Mobiliário em FERRO;Activo;Raio X;;;;;;;;;
9403.10.00;;119;1;Armário conf. Em AÇO Tam.1,53x0,51 c/ 4 prateleiras;650;;80;Mobiliário em FERRO;Activo;Raio X;;;;;;;;;
9403.10.00;10;120;1;Estante confeccionada em AÇO com 03 prateleiras na cor CINZA;646;;140;Mobiliário em FERRO;Activo;Raio X;21/05/2012;;;;;;;;
8472.90.40;10;121;1;Grampeador;1458;;8;Material Escritorio;Activo;Raio X;;;;;;;;;
8540.20.20;;122;1;Processador de Raio X modelo mx-2;651;;8000;Eq. Hospitalar;Activo;Raio X;;;;;;;;;
3923.30.00;;123;1;Bidão de plástico;1459;;;Mobiliário em plástico;Activo;Raio X;;;;;;;;;
3923.30.00;;124;1;Bidão de plástico;1460;;;Mobiliário em plástico;Activo;Raio X;;;;;;;;;
3923.30.00;;125;1;Bidão de plástico;1461;;;Mobiliário em plástico;Activo;Raio X;;;;;;;;;
6910.10.00;;126;1;Vaso sanitário cor branco;1342;;40;Outros;Activo;Raio X, banheiro;;;;;;;;;
3922.90.00;;127;1;Balde do lixo em plástico cor azul c/ acesso de pé;1462;;;Mobiliário em plástico;Activo;Entrada do Raio X;;;;;;;;;
6910.90.00;;128;1;Pia de louça torneira e acessorios tam. 0.41x30 marca DECA ;1341;;35;Outros;Activo;Raio X, banheiro;;;;;;;;;
9403.30.00;10;129;1;Mesa confeccionada em MADEIRA tam 1,20 M x 0,70 M na cor BRANCA;609;;110;Mobiliário em madeira;Activo;Quarto dos médicos;21/05/2012;;;;;;;;
9022.14.19;;130;1;Negatoscopio 01 corpo;610;;140;Eq. Hospitalar;Activo;Quarto dos médicos;21/05/2012;;;;;;;;
9401.69.00;;131;1;Poltrona Cadeira reclinável de madeira com almofada verde;612;;250;Mobiliário em madeira;Activo;Quarto dos médicos;21/05/2012;;;;;;;;
9402.90.20;10;132;1;Cama FAWLER de ferro estrado em molas;616;;;Eq. Hospitalar;Activo;Quarto dos médicos;21/05/2012;;;;;;;;
9402.90.20;10;133;1;Cama FAWLER de ferro estrado em molas;615;;;Eq. Hospitalar;Activo;Quarto dos médicos;21/05/2012;;;;;;;;
9402.90.20;10;134;1;Cama FAWLER de ferro branca;614;;;Eq. Hospitalar;Activo;Quarto dos médicos;21/05/2012;;;;;;;;
9402.90.90;10;135;1;Mesa para Cabeceira confeccionada em FERRO com 02 prateleiras;619;;100;Mobiliário em ferro;Activo;Quarto dos médicos;21/05/2012;;;;;;;;
9403.60.00;;136;1;Armario confeccionado em MADEIRA com 02 portas com vidraca;613;;250;Mobiliário madeira;Activo;Quarto dos médicos;21/05/2012;;;;;;;;
8525;;137;1;Suporte para Televisor Tam 14 polegadas cor PRETO;620;;96;Mobiliário;Activo;Quarto dos médicos;21/05/2012;;;;;;;;
8525.20.12;;138;1;Receptor Satelite Rota Star rts1900;622;;170;SetTopBox;Activo;Quarto dos médicos;12/08/2010;;;3587;JOTA SAT J AUGUSTO FIGUEIREDO;;;;
8528.72.00;;139;1;Televisor de 14 polegadas marca PHILIPS;621;;230;Televisor;Activo;Quarto dos médicos;21/05/2012;;;;;;;;
3922.90.00;;140;1;Balde de  lixo pequeno de plástico;1463;;;Mobiliário em plástico;Activo;Quarto dos médicos;;;;;;;;;
3922.90.00;;141;1;Balde do lixo plástico 100l;1464;;30;Mobiliário em plástico;Activo;Quarto dos médicos, banheiro;;;;;;;;;
3922.90.00;;142;1;Higienizador desinfectante limpeza de mãos;1465;;;Higiene;Activo;Quarto dos médicos, banheiro;;;;;;;;;
7009.92.00;;143;1;Espelho com Moldura em MADEIRA Tam 0,30 M X 0,60 M;624;;35;Mobiliário madeira;Activo;Quarto dos médicos, banheiro;21/05/2012;;;;;;;;
8516.10.00;20;144;1;Chuveiro Electrico lorenzetti;1466;;;Electronico;Activo;Quarto dos médicos, banheiro;;;;;;;;;
3922.90.00;;145;1;Dispensador de papel para limpeza de mãos;1467;;;Outros;Activo;Quarto dos médicos, banheiro;;;;;;;;;
3922.90.00;;146;1;Saboneteira marca PLAX Cor Branca;1468;;20;Outros;Activo;Raio X;;;;;;;;;
9403.30.00;10;147;1;Mesa branca de madeira em mau estado antiga;1469;;0;Mobiliário de madeira;Activo;Posto de enfermagem feminino;;;;;;;;;
9402.90.20;;148;1;Maca móvel cinza para defuntos CARRO Plataforma p/400kg que foi transformado em Maca mortoária GADOTTI SERRALHARIA;1470;;385;Eq. Hospitalar;Roubado;ND;28/02/2013;;;847;GADOTTI;;;;
9021.10.10;;149;1;Férula de ortopedia;1471;;;Eq. Hospitalar;Activo;Corredor de enfermaria;;;;;;;;;
9402.90.20;;150;1;Maca móvel branca;1472;;790;Eq. Hospitalar;Activo;Corredor de enfermaria;13/07/2009;;;952;CIRURGICA SÃO PEDRO;;;;
7610.10.00;;151;1;Quadro de Cortica com moldura em ALUMINIO medindo 2,50 M x 1,00 M;525;;80;Material Escritorio;Activo;Posto de enfermagem feminino;;;;;;;;;
3922.90.00;;152;1;Balde de lixo c/ tampa;1473;;;Mobiliário em plástico;Activo;Posto de enfermagem feminino;;;;;;;;;
9401.71.00;;153;1;Cadeira confeccionada em FERRO com forro acolchoado  cor PRETA;520;;57,66;Mobiliário em ferro;Activo;Posto de enfermagem feminino;21/05/2010;;;;;;;;
3922.90.00;;154;1;Caixote do lixo de cor azul;1474;;;Mobiliário em plástico;Activo;Centro Cirurgico, Sala de Pre-Parto;;;;;;;;;
;;155;1;Carrinho de Ferro com 04 rodas;518;;250;Eq. Hospitalar;Activo;Posto de enfermagem feminino;18/05/2010;;;;;;;;
7616.99.00;25;156;1;Escaninho confeccionado em ALUMINIO medindo 2,10 M X 0,30 M X 0,40 M;507;;300;Mobiliário em Aluminio;Activo;Posto de enfermagem feminino;17/05/2010;;;;;;;;
4414.00.00;;157;1;Quadro de aviso pequeno de afixar em cortiça;1475;;;Material Escritorio;Activo;Posto de enfermagem feminino;;;;;;;;;
3922.90.00;;158;1;Higienizador desinfectante limpeza de mãos;1476;;;Higiene;Activo;Posto de enfermagem feminino;;;;;;;;;
3922.90.00;;159;1;Dispensador de papel para limpeza de mãos;1477;;;Mobiliário em plástico;Activo;Posto de enfermagem feminino;;;;;;;;;
3922.90.00;;160;1;Caixote de lixo azul c/ acesso de pé;1478;;;Mobiliário;Activo;Posto de enfermagem feminino;;;;;;;;;
9403.60.00;;161;1;Arquivo, caixa em Madeira para Raio X;1479;;;Mobiliário em madeira;Activo;Posto de enfermagem feminino;;;;;;;;;
8508.60.00;;162;1;Aspirador Cirurgico uso adulto marca NEVON;505;;350;Eq. Hospitalar;Activo;Posto de enfermagem feminino;17/05/2010;;;;;;;;
9401.71.00;;163;1;Cadeira confeccionada em Ferro com assento forrado na cor PRETA;218;;80;Mobiliário em Ferro;Activo;Posto de enfermagem feminino;22/10/2010;;;;;;;;
9401.71.00;;164;1;Cadeira de escritorio preta;219;;57,66;Mobiliário em Ferro;Activo;Posto de enfermagem feminino;22/10/2010;;;;;;;;
9403.10.00;;165;1;Carro de Parada confeccionado em AÇO com 03 prateleiras;504;;1500;Eq. Hospitalar;Activo;Posto de enfermagem feminino;17/05/2012;;;;;;;;
8471;20;166;1;Nobreak modelo SAVE de 1KVA marca RAGETECH cor preto;245;;220;Electronico;Activo;Posto de enfermagem feminino;14/05/2012;;;;;;;;
8528.51.20;20;167;1;Monitor LG Flatron W1642S SN:911SPVHE7047;242;;300;Monitor;Activo;Posto de enfermagem feminino;14/05/2012;;;;;;;;
9403.30.00;10;168;1;Mesa confeccionada em MADEIRA tipo FORMICA tam 1,20 M x 0,60 M;543;;120;Mobiliário em madeira;Activo;Posto de enfermagem feminino;18/05/2012;;;;;;;;
7009.91.00;;169;1;Espelho pequeno castanho;1480;;;Outros;Activo;Posto de enfermagem feminino, banheiro;;;;;;;;;
9403.60.00;;170;1;Cadeira confeccionada em MADEIRA ( INVERNIZADA );506;;150;Mobiliário em madeira;Activo;Posto de enfermagem feminino, banheiro;17/05/2012;;;;;;;;
3922.90.00;;171;1;Balde de lixo plástico;1481;;;Mobiliário em plástico;Activo;Posto de enfermagem feminino, banheiro;;;;;;;;;
8471.60.52;20;172;1;NEWLink Teclado Easy;1482;;;TecladoPC;Activo;Posto de enfermagem feminino;;;;;;;;;
8471.50.10;20;173;1;Gabinte PC TekToner Inf. Intel celeron 900MB RAM;1483;;;Computador;Activo;Posto de enfermagem feminino;;;;;;;;;
8517.19.20;0;174;1;Aparelho de Telefone Modelo Pleno ( INTELBRAS );742;;40;Telefonia;Activo;Posto de enfermagem feminino;23/05/2012;;;;;;;;
3922.90.00;;175;1;Caixote de lixo plastico;1484;;;Mobiliário em plástico;Activo;Posto de enfermagem feminino;;;;;;;;;
9403.60.00;;176;1;Estátua grande em Madeira do Sto Antonio da Estiva;1485;;;Mobiliário em madeira;Activo;Posto de enfermagem feminino;;;;;;;;;
3922.90.00;;177;1;Caixote de lixo cor azul 100l;1486;;;Mobiliário em plástico;Activo;Posto de enfermagem feminino;;;;;;;;;
3922.90.00;;178;1;Caixote de lixo cor branca 100l;1487;;;Mobiliário em plástico;Activo;Posto de enfermagem feminino;;;;;;;;;
9401.80.00;;179;1;Cadeira de plástico branca;1488;;;Mobiliário em plástico;Activo;Refeitório;;;;;;;;;
9022.14.19;10;180;1;Aparelho de Raio x cap de 500 WAP marca SIEMENS;668;;20000;Eq. Hospitalar;Desactivo;Raio X;21/05/2012;;;;;;;;
9022.14.19;10;181;1;Telecomando Controlo do Raio X NOVO 125Kv 500mA;1495;;18620;Eq. Hospitalar;Activo;Raio X;27/02/2013;PAHI;;serie A 382;MULT. RAD. RIO COM. E SERV.;;;;
9026.10.11;;182;1;Medidor de corrente;1489;;;Electronico;Activo;Raio X;;;;;;;;;
9022.14.19;10;183;1;Porta  Chassi embutido (Passador) ntr e saída;1346;;350;Eq. Hospitalar;Activo;Raio X;;;;;;;;;
9022.14.19;10;184;1;MultiX B Siemens Mesa de raio X;1496;;;Eq. Hospitalar;Activo;Raio X;;;;;;;;;
